signal_date,ticker,strategy,signal,close,rsi,deviation,score,adx,ret_5d,ticker_class
2026-05-12,GOOGL,トレンドフォロー,HOLD,387.35,68.9,11.7,,,,
2026-05-12,INTC,トレンドフォロー,HOLD,120.61,73.7,52.39,,,,
2026-05-12,IWM,トレンドフォロー,HOLD,282.57,61.1,4.6,,,,
2026-05-12,META,トレンドフォロー,HOLD,603.0,37.3,-4.13,,,,
2026-05-12,MSFT,トレンドフォロー,HOLD,407.77,46.0,0.02,,,,
2026-05-12,MSTR,トレンドフォロー,HOLD,184.42,59.6,14.59,,,,
2026-05-12,MU,トレンドフォロー,BUY,766.58,80.6,48.04,,,,
2026-05-12,NUGT,トレンドフォロー,HOLD,204.73,60.1,4.37,,,,
2026-05-12,NVDA,トレンドフォロー,HOLD,220.78,72.0,11.62,,,,
2026-05-12,QCOM,トレンドフォロー,BUY,210.31,67.2,31.45,,,,
2026-05-12,QQQ,トレンドフォロー,HOLD,707.24,79.3,9.19,,,,
2026-05-12,SOFI,トレンドフォロー,HOLD,15.9,39.5,-8.69,,,,
2026-05-12,SOXL,トレンドフォロー,BUY,172.52,68.3,60.3,,,,
2026-05-12,SOXS,トレンドフォロー,SELL,8.95,24.1,-58.58,,,,
2026-05-12,SPXS,トレンドフォロー,HOLD,27.76,23.2,-14.68,,,,
2026-05-12,SPY,トレンドフォロー,HOLD,738.18,77.5,5.13,,,,
2026-05-12,SQQQ,トレンドフォロー,SELL,43.31,20.6,-25.9,,,,
2026-05-12,TECL,トレンドフォロー,BUY,191.68,77.5,38.87,,,,
2026-05-12,TQQQ,トレンドフォロー,HOLD,74.96,78.5,26.69,,,,
2026-05-12,TSLL,トレンドフォロー,HOLD,15.96,69.6,18.69,,,,
2026-05-12,TSM,トレンドフォロー,HOLD,397.28,52.9,5.05,,,,
2026-05-12,UPRO,トレンドフォロー,HOLD,139.53,77.0,14.39,,,,
2026-05-12,AAPL,逆張り,HOLD,294.8,77.7,8.72,,,,
2026-05-12,AMAT,逆張り,HOLD,431.2,61.4,10.89,,,,
2026-05-12,AMD,逆張り,HOLD,448.29,77.2,44.98,,,,
2026-05-12,AMZN,逆張り,SELL,265.82,59.5,7.55,,,,
2026-05-12,AVGO,逆張り,HOLD,419.3,57.0,8.69,,,,
2026-05-12,CLSK,逆張り,HOLD,13.47,58.3,14.26,,,,
2026-05-12,COIN,逆張り,HOLD,207.64,57.9,7.0,,,,
2026-05-12,FNGG,逆張り,HOLD,233.29,74.4,16.43,,,,
2026-05-12,GOOGL,逆張り,SELL,387.35,68.9,11.7,,,,
2026-05-12,INTC,逆張り,HOLD,120.61,73.7,52.39,,,,
2026-05-12,IWM,逆張り,SELL,282.57,61.1,4.6,,,,
2026-05-12,META,逆張り,HOLD,603.0,37.3,-4.13,,,,
2026-05-12,MSFT,逆張り,HOLD,407.77,46.0,0.02,,,,
2026-05-12,MSTR,逆張り,HOLD,184.42,59.6,14.59,,,,
2026-05-12,MU,逆張り,HOLD,766.58,80.6,48.04,,,,
2026-05-12,NUGT,逆張り,HOLD,204.73,60.1,4.37,,,,
2026-05-12,NVDA,逆張り,HOLD,220.78,72.0,11.62,,,,
2026-05-12,QCOM,逆張り,HOLD,210.31,67.2,31.45,,,,
2026-05-12,QQQ,逆張り,HOLD,707.24,79.3,9.19,,,,
2026-05-12,SOFI,逆張り,HOLD,15.9,39.5,-8.69,,,,
2026-05-12,SOXL,逆張り,HOLD,172.52,68.3,60.3,,,,
2026-05-12,SOXS,逆張り,BUY,8.95,24.1,-58.58,,,,
2026-05-12,SPXS,逆張り,BUY,27.76,23.2,-14.68,,,,
2026-05-12,SPY,逆張り,HOLD,738.18,77.5,5.13,,,,
2026-05-12,SQQQ,逆張り,BUY,43.31,20.6,-25.9,,,,
2026-05-12,TECL,逆張り,HOLD,191.68,77.5,38.87,,,,
2026-05-12,TQQQ,逆張り,HOLD,74.96,78.5,26.69,,,,
2026-05-12,TSLL,逆張り,HOLD,15.96,69.6,18.69,,,,
2026-05-12,TSM,逆張り,SELL,397.28,52.9,5.05,,,,
2026-05-12,UPRO,逆張り,HOLD,139.53,77.0,14.39,,,,
2026-05-13,AAPL,トレンドフォロー,HOLD,298.87,80.4,9.67,,,,
2026-05-13,AMAT,トレンドフォロー,HOLD,436.61,63.3,11.62,,,,
2026-05-13,AMD,トレンドフォロー,HOLD,445.5,75.9,41.04,,,,
2026-05-13,AMZN,トレンドフォロー,HOLD,270.13,65.0,8.8,,,,
2026-05-13,AVGO,トレンドフォロー,HOLD,416.79,55.2,7.62,,,,
2026-05-13,CLSK,トレンドフォロー,HOLD,13.3,56.2,12.12,,,,
2026-05-13,COIN,トレンドフォロー,HOLD,201.8,53.1,3.79,,,,
2026-05-13,FNGG,トレンドフォロー,HOLD,240.07,78.2,18.67,,,,
2026-05-13,GOOGL,トレンドフォロー,HOLD,402.62,76.1,15.2,,,,
2026-05-13,INTC,トレンドフォロー,HOLD,120.29,73.2,48.23,,,,
2026-05-13,IWM,トレンドフォロー,HOLD,282.67,61.2,4.4,,,,
2026-05-13,META,トレンドフォロー,HOLD,616.63,45.8,-1.87,,,,
2026-05-13,MSFT,トレンドフォロー,HOLD,405.21,43.7,-0.58,,,,
2026-05-13,MSTR,トレンドフォロー,HOLD,178.03,53.8,10.05,,,,
2026-05-13,MU,トレンドフォロー,HOLD,803.63,82.8,51.13,,,,
2026-05-13,NUGT,トレンドフォロー,HOLD,200.95,57.3,2.32,,,,
2026-05-13,NVDA,トレンドフォロー,HOLD,225.83,75.6,13.39,,,,
2026-05-13,QCOM,トレンドフォロー,HOLD,213.17,68.1,31.11,,,,
2026-05-13,QQQ,トレンドフォロー,HOLD,714.71,81.7,9.79,,,,
2026-05-13,SOFI,トレンドフォロー,HOLD,15.31,34.6,-11.56,,,,
2026-05-13,SOXL,トレンドフォロー,HOLD,184.24,71.5,65.45,,,,
2026-05-13,SOXS,トレンドフォロー,SELL,8.35,22.8,-60.16,,,,
2026-05-13,SPXS,トレンドフォロー,HOLD,27.32,21.2,-15.37,,,,
2026-05-13,SPY,トレンドフォロー,HOLD,742.31,79.8,5.42,,,,
2026-05-13,SQQQ,トレンドフォロー,HOLD,41.99,18.8,-27.16,,,,
2026-05-13,TECL,トレンドフォロー,HOLD,197.15,79.3,39.91,,,,
2026-05-13,TQQQ,トレンドフォロー,HOLD,77.24,81.1,28.63,,,,
2026-05-13,TSLL,トレンドフォロー,BUY,16.84,73.6,23.71,,,,
2026-05-13,TSM,トレンドフォロー,HOLD,399.8,54.6,5.42,,,,
2026-05-13,UPRO,トレンドフォロー,HOLD,141.83,79.5,15.36,,,,
2026-05-13,AAPL,逆張り,HOLD,298.87,80.4,9.67,,,,
2026-05-13,AMAT,逆張り,HOLD,436.61,63.3,11.62,,,,
2026-05-13,AMD,逆張り,HOLD,445.5,75.9,41.04,,,,
2026-05-13,AMZN,逆張り,HOLD,270.13,65.0,8.8,,,,
2026-05-13,AVGO,逆張り,HOLD,416.79,55.2,7.62,,,,
2026-05-13,CLSK,逆張り,SELL,13.3,56.2,12.12,,,,
2026-05-13,COIN,逆張り,HOLD,201.8,53.1,3.79,,,,
2026-05-13,FNGG,逆張り,HOLD,240.07,78.2,18.67,,,,
2026-05-13,GOOGL,逆張り,HOLD,402.62,76.1,15.2,,,,
2026-05-13,INTC,逆張り,HOLD,120.29,73.2,48.23,,,,
2026-05-13,IWM,逆張り,HOLD,282.67,61.2,4.4,,,,
2026-05-13,META,逆張り,HOLD,616.63,45.8,-1.87,,,,
2026-05-13,MSFT,逆張り,HOLD,405.21,43.7,-0.58,,,,
2026-05-13,MSTR,逆張り,SELL,178.03,53.8,10.05,,,,
2026-05-13,MU,逆張り,HOLD,803.63,82.8,51.13,,,,
2026-05-13,NUGT,逆張り,HOLD,200.95,57.3,2.32,,,,
2026-05-13,NVDA,逆張り,HOLD,225.83,75.6,13.39,,,,
2026-05-13,QCOM,逆張り,HOLD,213.17,68.1,31.11,,,,
2026-05-13,QQQ,逆張り,HOLD,714.71,81.7,9.79,,,,
2026-05-13,SOFI,逆張り,HOLD,15.31,34.6,-11.56,,,,
2026-05-13,SOXL,逆張り,HOLD,184.24,71.5,65.45,,,,
2026-05-13,SOXS,逆張り,HOLD,8.35,22.8,-60.16,,,,
2026-05-13,SPXS,逆張り,HOLD,27.32,21.2,-15.37,,,,
2026-05-13,SPY,逆張り,HOLD,742.31,79.8,5.42,,,,
2026-05-13,SQQQ,逆張り,HOLD,41.99,18.8,-27.16,,,,
2026-05-13,TECL,逆張り,HOLD,197.15,79.3,39.91,,,,
